아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1098,据,,手,11,S,1981,,す-える、す-わる,일할 거,1.붙박다 2.그냥놓아두다 3.설치하다
1099,杉,,木,7,S,1981,,すぎ,삼나무 삼,삼나무
1100,裾,,衣,13,S,2010,,すそ,옷자락 거,1.옷자락 2.산기슭 3.하류 4.목덜미의머리털 5.물건의끝
1101,寸,,寸,3,6,,,スン,마디 촌,1.(척관법에서)치 2.치수 3.길이
1102,瀬,瀨,水,19,S,,,せ,여울 뢰,1.강의얕은곳 2.여울 3.기회 4.자리 5.급류
1103,是,,日,9,S,,,ゼ,옳을 시,1.옳음 2.옳다고인정하다 3.옳다고인정한방침 4.이 5.좋음
1104,井,,二,4,4,,,セイ、（ショウ）、い,우물 정,
1105,世,,一,5,3,,,セイ、セ、よ,인간/ 세상 세,
1106,正,,止,5,1,,,セイ、ショウ、ただ-しい、ただ-す、まさ,바를 정,1.바름 2.바르게 3.참된 4.본디의 5.정면
1107,生,,生,5,1,,,セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま,날 생,1.나다 2.태어나다 3.타고남 4.낳다 5.일어나다
1108,成,,戈,6,4,,,セイ、（ジョウ）、な-る、な-す,이룰 성,1.하다 2.이루어지다 3.만들어내다 4.길러내다 5.다되다
1109,西,,襾,6,2,,,セイ、サイ、にし,서녘 서,1.서쪽 2.서풍 3.서방정토(西方淨土)
1110,声,聲,耳,7,2,,,セイ、（ショウ）、こえ、（こわ）,소리 성,1.소리 2.목소리 3.(새·벌레의)울음소리 4.(물건의)소리 5.말
1111,制,,刀,8,5,,,セイ,절제할 제,1.마르다 2.정하다 3.결정 4.조직의형식 5.-제
1112,姓,,女,8,S,,,セイ、ショウ,성씨 성,1.일족 2.일본에서옛날씨족에게준칭호 3.성 4.혈통 5.성씨
1113,征,,彳,8,S,,,セイ,칠 정,1.가다 2.싸움터에나가다 3.토벌하다 4.여행가다
1114,性,,心,8,5,,,セイ、ショウ,성품 성,1.성 2.천성 3.마음 4.(남녀의)성 5.섹스
1115,青,靑,靑,8,1,,,セイ、（ショウ）、あお、あお-い,푸를 청,1.청 2.초록 3.총이말 4.'青毛あおげ'의준말 5.(교통신호의)청신호
1116,斉,齊,齊,8,S,1981,,セイ,가지런할 제,1.한결같다 2.다스리다 3.공손하게삼가는모습 4.斉魚えつ웅어.斉墩果えごのき때죽나무 5.가지런하다
1117,政,,攴,9,5,,,セイ、（ショウ）、まつりごと,정사 정,1.정사 2.행정 3.다스려처리하는방법 4.국가를다스림
1118,星,,日,9,2,,,セイ、（ショウ）、ほし,별 성,1.별 2.세월 3.별표 4.(눈동자의)삼 5.팔자
1119,牲,,牛,9,S,,,セイ,희생 생,
